Bus ID,Bus Type,Capacity,Battery Type,Battery Capacity
7726,Urban,74,Lead-Acid,196
7727,Urban,57,Lithium-Ion,241
7728,Urban,79,Lead-Acid,275
7729,Urban,64,Lead-Acid,159
7730,Urban,55,Lead-Acid,156
7731,Urban,70,Lead-Acid,279
7732,Urban,76,Lithium-Ion,187
7733,Suburban,40,Lead-Acid,299
7734,Urban,42,Lead-Acid,242
7735,Suburban,53,Lithium-Ion,168
7736,Suburban,68,Lead-Acid,257
7737,Suburban,78,Lead-Acid,285
7738,Suburban,44,Lithium-Ion,228
7739,Suburban,46,Lithium-Ion,160
7740,Urban,66,Lead-Acid,191
7741,Urban,77,Lithium-Ion,274
7742,Suburban,74,Lithium-Ion,232
7743,Urban,51,Lead-Acid,266
7744,Urban,42,Lithium-Ion,250
7745,Suburban,48,Lead-Acid,259
7746,Urban,78,Lithium-Ion,203
7747,Suburban,40,Lithium-Ion,264
7748,Suburban,67,Lithium-Ion,294
7749,Urban,68,Lithium-Ion,259
7750,Urban,65,Lithium-Ion,238
7751,Urban,66,Lithium-Ion,298
7752,Suburban,44,Lithium-Ion,155
7753,Suburban,70,Lithium-Ion,212
7754,Suburban,72,Lead-Acid,232
7755,Urban,48,Lead-Acid,197
7756,Urban,59,Lead-Acid,244
7757,Suburban,53,Lead-Acid,175
7758,Urban,61,Lithium-Ion,194
7759,Urban,59,Lead-Acid,252
7760,Urban,42,Lead-Acid,260
7761,Suburban,62,Lithium-Ion,258
7762,Urban,47,Lithium-Ion,225
7763,Suburban,55,Lithium-Ion,290
7764,Suburban,69,Lead-Acid,193
7765,Suburban,49,Lead-Acid,203
7766,Suburban,69,Lead-Acid,259
7767,Suburban,44,Lithium-Ion,181
7768,Suburban,50,Lithium-Ion,191
7769,Urban,41,Lead-Acid,273
7770,Suburban,54,Lithium-Ion,209
7771,Urban,59,Lead-Acid,196
7772,Urban,47,Lead-Acid,279
7773,Suburban,57,Lead-Acid,253
7774,Urban,73,Lithium-Ion,209
7775,Suburban,49,Lithium-Ion,220
7776,Urban,76,Lead-Acid,294
7777,Suburban,64,Lithium-Ion,186
7778,Suburban,57,Lead-Acid,281
7779,Urban,63,Lead-Acid,295
7780,Suburban,74,Lead-Acid,184
7781,Suburban,51,Lithium-Ion,194
7782,Suburban,56,Lead-Acid,297
7783,Urban,77,Lead-Acid,217
7784,Urban,62,Lithium-Ion,285
7785,Suburban,75,Lithium-Ion,241
7786,Urban,55,Lead-Acid,227
7787,Urban,73,Lead-Acid,223
7788,Urban,41,Lithium-Ion,212
7789,Suburban,54,Lead-Acid,210
7790,Urban,63,Lead-Acid,163
7791,Urban,68,Lithium-Ion,294
7792,Urban,79,Lithium-Ion,299
7793,Suburban,52,Lead-Acid,203
7794,Suburban,43,Lithium-Ion,152
7795,Urban,79,Lithium-Ion,268
7796,Suburban,62,Lead-Acid,286
7797,Urban,50,Lead-Acid,260
7798,Suburban,50,Lead-Acid,161
7799,Suburban,46,Lead-Acid,176
7800,Urban,61,Lithium-Ion,274
7801,Urban,42,Lead-Acid,212
7802,Suburban,64,Lead-Acid,233
7803,Urban,75,Lead-Acid,180
7804,Suburban,75,Lead-Acid,189
7805,Suburban,66,Lithium-Ion,271
7806,Urban,65,Lithium-Ion,215
7807,Suburban,44,Lithium-Ion,268
7808,Urban,48,Lead-Acid,155
7809,Urban,55,Lead-Acid,253
7810,Urban,60,Lithium-Ion,228
7811,Urban,56,Lead-Acid,177
7812,Suburban,49,Lead-Acid,162
7813,Urban,71,Lithium-Ion,165
7814,Suburban,64,Lead-Acid,187
7815,Urban,74,Lead-Acid,198
7816,Suburban,51,Lithium-Ion,178
7817,Suburban,57,Lead-Acid,192
7818,Urban,41,Lead-Acid,233
7819,Suburban,48,Lithium-Ion,166
7820,Urban,77,Lead-Acid,228
7821,Suburban,76,Lithium-Ion,197
7822,Suburban,70,Lithium-Ion,154
7823,Suburban,79,Lithium-Ion,278
7824,Urban,61,Lead-Acid,245
7825,Suburban,61,Lead-Acid,286
7826,Urban,41,Lithium-Ion,235
7827,Urban,57,Lead-Acid,243
7828,Suburban,57,Lithium-Ion,276
7829,Urban,64,Lead-Acid,256
7830,Urban,60,Lithium-Ion,150
7831,Urban,68,Lead-Acid,283
7832,Urban,52,Lead-Acid,176
7833,Suburban,58,Lead-Acid,187
7834,Urban,43,Lithium-Ion,235
7835,Urban,70,Lead-Acid,202
7836,Suburban,43,Lead-Acid,189
7837,Urban,43,Lithium-Ion,188
7838,Urban,59,Lithium-Ion,286
7839,Urban,66,Lead-Acid,284
7840,Urban,76,Lead-Acid,254
7841,Suburban,68,Lithium-Ion,286
7842,Suburban,66,Lithium-Ion,198
7843,Urban,71,Lithium-Ion,230
7844,Urban,47,Lead-Acid,262
7845,Suburban,57,Lead-Acid,160
7846,Suburban,79,Lithium-Ion,188
7847,Urban,40,Lead-Acid,274
7848,Suburban,42,Lead-Acid,219
7849,Suburban,72,Lithium-Ion,207
7850,Urban,63,Lithium-Ion,207
7851,Suburban,57,Lithium-Ion,229
7852,Suburban,79,Lithium-Ion,274
7853,Suburban,79,Lead-Acid,260
7854,Suburban,66,Lithium-Ion,295
7855,Urban,53,Lead-Acid,195
7856,Suburban,40,Lithium-Ion,167
7857,Urban,47,Lithium-Ion,189
7858,Suburban,73,Lead-Acid,200
7859,Urban,45,Lithium-Ion,153
7860,Urban,51,Lead-Acid,167
7861,Urban,43,Lead-Acid,180
7862,Urban,74,Lead-Acid,273
7863,Suburban,44,Lead-Acid,263
7864,Urban,54,Lead-Acid,257
7865,Urban,49,Lithium-Ion,204
7866,Suburban,64,Lead-Acid,187
7867,Urban,45,Lead-Acid,227
7868,Urban,43,Lead-Acid,193
7869,Suburban,68,Lithium-Ion,163
7870,Urban,48,Lithium-Ion,190
7871,Suburban,42,Lead-Acid,226
7872,Suburban,48,Lead-Acid,165
7873,Suburban,42,Lithium-Ion,151
7874,Suburban,78,Lithium-Ion,166
7875,Suburban,67,Lithium-Ion,297
7876,Urban,72,Lithium-Ion,219
7877,Suburban,48,Lead-Acid,160
7878,Suburban,50,Lithium-Ion,188
7879,Suburban,61,Lithium-Ion,227
7880,Suburban,48,Lithium-Ion,266
7881,Urban,47,Lithium-Ion,284
7882,Urban,50,Lithium-Ion,274
7883,Suburban,79,Lead-Acid,284
7884,Urban,67,Lead-Acid,159
7885,Suburban,66,Lithium-Ion,196
7886,Suburban,50,Lead-Acid,276
7887,Suburban,49,Lithium-Ion,168
7888,Suburban,56,Lead-Acid,217
7889,Suburban,65,Lead-Acid,248
7890,Urban,62,Lead-Acid,180
7891,Suburban,56,Lithium-Ion,201
7892,Suburban,67,Lead-Acid,178
7893,Urban,63,Lithium-Ion,206
7894,Suburban,40,Lead-Acid,190
7895,Urban,44,Lead-Acid,295
7896,Suburban,56,Lead-Acid,207
7897,Urban,47,Lead-Acid,207
7898,Suburban,60,Lead-Acid,152
7899,Urban,49,Lithium-Ion,190
7900,Suburban,57,Lithium-Ion,295
7901,Urban,75,Lead-Acid,173
7902,Urban,76,Lithium-Ion,174
7903,Urban,72,Lithium-Ion,290
7904,Suburban,78,Lithium-Ion,206
7905,Suburban,41,Lithium-Ion,164
7906,Urban,68,Lithium-Ion,178
7907,Urban,47,Lithium-Ion,157
7908,Suburban,58,Lead-Acid,251
7909,Urban,42,Lithium-Ion,282
7910,Urban,71,Lithium-Ion,177
7911,Urban,71,Lead-Acid,232
7912,Suburban,78,Lead-Acid,249
7913,Suburban,72,Lithium-Ion,213
7914,Suburban,44,Lead-Acid,227
7915,Suburban,77,Lithium-Ion,233
7916,Suburban,54,Lead-Acid,179
7917,Urban,71,Lead-Acid,260
7918,Suburban,77,Lithium-Ion,199
7919,Urban,64,Lead-Acid,267
7920,Urban,68,Lithium-Ion,262
7921,Urban,71,Lead-Acid,207
7922,Suburban,77,Lead-Acid,211
7923,Suburban,40,Lithium-Ion,243
7924,Urban,60,Lead-Acid,190
7925,Urban,76,Lithium-Ion,203
7926,Urban,74,Lead-Acid,216
7927,Urban,71,Lead-Acid,219
7928,Urban,64,Lead-Acid,230
7929,Suburban,71,Lithium-Ion,183
7930,Urban,69,Lithium-Ion,160
7931,Urban,79,Lithium-Ion,213
7932,Urban,69,Lithium-Ion,266
7933,Urban,46,Lithium-Ion,216
7934,Suburban,52,Lead-Acid,279
7935,Urban,69,Lithium-Ion,194
7936,Suburban,68,Lithium-Ion,265
7937,Suburban,75,Lead-Acid,191
7938,Suburban,49,Lithium-Ion,224
7939,Urban,44,Lead-Acid,203
7940,Suburban,50,Lithium-Ion,230
7941,Urban,51,Lithium-Ion,212
7942,Suburban,64,Lithium-Ion,212
7943,Urban,54,Lithium-Ion,167
7944,Suburban,50,Lithium-Ion,239
7945,Urban,50,Lead-Acid,175
7946,Urban,72,Lead-Acid,235
7947,Urban,56,Lithium-Ion,265
7948,Suburban,57,Lead-Acid,255
7949,Suburban,67,Lead-Acid,291
7950,Urban,43,Lead-Acid,235
7951,Urban,53,Lead-Acid,243
7952,Suburban,72,Lithium-Ion,158
7953,Suburban,76,Lead-Acid,153
7954,Urban,50,Lithium-Ion,260
7955,Urban,75,Lead-Acid,276
7956,Suburban,43,Lithium-Ion,157
7957,Suburban,64,Lithium-Ion,282
7958,Suburban,47,Lithium-Ion,275
7959,Urban,69,Lead-Acid,271
7960,Suburban,41,Lithium-Ion,245
7961,Urban,54,Lead-Acid,237
7962,Suburban,77,Lead-Acid,175
7963,Urban,50,Lithium-Ion,171
7964,Urban,64,Lithium-Ion,205
7965,Suburban,42,Lead-Acid,212
7966,Urban,62,Lead-Acid,274
7967,Suburban,57,Lithium-Ion,297
7968,Suburban,77,Lithium-Ion,173
7969,Suburban,43,Lead-Acid,197
7970,Urban,51,Lead-Acid,231
7971,Suburban,76,Lead-Acid,273
7972,Urban,61,Lithium-Ion,296
7973,Urban,53,Lead-Acid,258
7974,Suburban,68,Lead-Acid,263
7975,Urban,63,Lithium-Ion,164
7976,Urban,60,Lithium-Ion,202
7977,Urban,68,Lithium-Ion,170
7978,Urban,78,Lead-Acid,196
7979,Urban,50,Lithium-Ion,288
7980,Urban,67,Lithium-Ion,173
7981,Urban,40,Lithium-Ion,170
7982,Suburban,43,Lead-Acid,234
7983,Suburban,73,Lithium-Ion,169
7984,Suburban,77,Lead-Acid,217
7985,Urban,72,Lead-Acid,291
7986,Suburban,66,Lithium-Ion,230
7987,Suburban,75,Lithium-Ion,205
7988,Urban,60,Lead-Acid,152
7989,Suburban,75,Lithium-Ion,261
7990,Urban,64,Lithium-Ion,295
7991,Suburban,67,Lithium-Ion,165
7992,Suburban,49,Lead-Acid,275
7993,Suburban,73,Lead-Acid,194
7994,Urban,60,Lithium-Ion,267
7995,Suburban,72,Lithium-Ion,194
7996,Suburban,76,Lead-Acid,244
7997,Suburban,42,Lithium-Ion,182
7998,Urban,50,Lithium-Ion,280
7999,Urban,79,Lithium-Ion,291
8000,Suburban,63,Lead-Acid,208
8001,Urban,43,Lead-Acid,150
8002,Suburban,49,Lithium-Ion,214
8003,Urban,60,Lithium-Ion,299
8004,Suburban,76,Lithium-Ion,236
8005,Urban,58,Lead-Acid,193
8006,Suburban,76,Lead-Acid,183
8007,Urban,53,Lithium-Ion,295
8008,Urban,42,Lead-Acid,201
8009,Suburban,54,Lead-Acid,260
8010,Urban,64,Lithium-Ion,266
8011,Urban,76,Lead-Acid,208
8012,Suburban,59,Lead-Acid,157
8013,Suburban,67,Lead-Acid,263
8014,Urban,41,Lithium-Ion,285
8015,Suburban,78,Lead-Acid,212
8016,Suburban,40,Lithium-Ion,202
8017,Suburban,69,Lead-Acid,226
8018,Suburban,49,Lithium-Ion,208
8019,Urban,55,Lithium-Ion,251
8020,Urban,57,Lead-Acid,184
8021,Suburban,48,Lithium-Ion,151
8022,Urban,53,Lithium-Ion,274
8023,Urban,44,Lithium-Ion,173
8024,Suburban,79,Lithium-Ion,288
8025,Urban,73,Lithium-Ion,186
8026,Suburban,65,Lead-Acid,211
8027,Urban,52,Lead-Acid,171
8028,Suburban,61,Lithium-Ion,208
8029,Urban,72,Lead-Acid,188
8030,Urban,70,Lithium-Ion,170
8031,Suburban,68,Lead-Acid,276
8032,Urban,68,Lead-Acid,224
8033,Urban,68,Lithium-Ion,151
8034,Suburban,48,Lithium-Ion,241
8035,Urban,75,Lithium-Ion,205
8036,Suburban,43,Lead-Acid,161
8037,Urban,69,Lead-Acid,167
8038,Urban,68,Lithium-Ion,201
8039,Suburban,44,Lead-Acid,240
8040,Urban,48,Lithium-Ion,253
8041,Suburban,73,Lithium-Ion,257
8042,Suburban,48,Lead-Acid,217
8043,Urban,45,Lead-Acid,261
8044,Suburban,60,Lead-Acid,272
8045,Urban,64,Lithium-Ion,231
8046,Urban,68,Lead-Acid,299
8047,Urban,45,Lead-Acid,165
8048,Suburban,40,Lead-Acid,189
8049,Urban,66,Lithium-Ion,267
8050,Urban,62,Lead-Acid,202
8051,Urban,77,Lithium-Ion,176
8052,Suburban,47,Lead-Acid,202
8053,Suburban,69,Lead-Acid,265
8054,Suburban,69,Lead-Acid,211
8055,Suburban,52,Lithium-Ion,239
8056,Urban,59,Lead-Acid,259
8057,Suburban,64,Lead-Acid,207
8058,Suburban,62,Lithium-Ion,276
8059,Urban,51,Lithium-Ion,237
8060,Suburban,70,Lead-Acid,212
8061,Urban,47,Lithium-Ion,206
8062,Urban,50,Lithium-Ion,279
8063,Urban,58,Lithium-Ion,277
8064,Urban,67,Lithium-Ion,174
8065,Suburban,52,Lead-Acid,214
8066,Urban,76,Lithium-Ion,260
8067,Urban,69,Lead-Acid,249
8068,Suburban,58,Lead-Acid,232
8069,Urban,46,Lead-Acid,213
8070,Suburban,75,Lithium-Ion,238
8071,Urban,76,Lithium-Ion,269
8072,Suburban,65,Lithium-Ion,186
8073,Urban,70,Lead-Acid,191
8074,Urban,75,Lead-Acid,208
8075,Urban,78,Lead-Acid,270
8076,Urban,42,Lead-Acid,212
8077,Suburban,51,Lead-Acid,259
8078,Urban,72,Lithium-Ion,189
8079,Suburban,43,Lead-Acid,156
8080,Suburban,53,Lead-Acid,198
8081,Suburban,49,Lead-Acid,259
8082,Urban,55,Lead-Acid,160
8083,Urban,45,Lead-Acid,202
8084,Suburban,69,Lead-Acid,185
8085,Suburban,72,Lithium-Ion,231
8086,Urban,45,Lead-Acid,220
8087,Suburban,59,Lithium-Ion,169
8088,Suburban,60,Lead-Acid,211
8089,Urban,64,Lithium-Ion,245
8090,Suburban,42,Lead-Acid,150
8091,Urban,60,Lithium-Ion,170
8092,Urban,57,Lithium-Ion,247
8093,Urban,70,Lead-Acid,267
8094,Urban,42,Lead-Acid,200
8095,Suburban,50,Lead-Acid,205
8096,Urban,72,Lead-Acid,284
8097,Suburban,78,Lead-Acid,176
8098,Urban,67,Lithium-Ion,183
8099,Suburban,50,Lead-Acid,297
8100,Urban,55,Lead-Acid,297
8101,Suburban,73,Lead-Acid,267
8102,Suburban,72,Lead-Acid,262
8103,Urban,77,Lead-Acid,263
8104,Urban,48,Lithium-Ion,275
8105,Suburban,78,Lead-Acid,165
8106,Urban,73,Lead-Acid,195
8107,Urban,67,Lithium-Ion,218
8108,Urban,71,Lead-Acid,209
8109,Urban,64,Lead-Acid,290
8110,Urban,69,Lead-Acid,164
8111,Urban,68,Lithium-Ion,281
8112,Urban,46,Lithium-Ion,194
8113,Urban,78,Lead-Acid,268
8114,Suburban,50,Lead-Acid,182
8115,Urban,60,Lithium-Ion,161
8116,Urban,68,Lead-Acid,193
8117,Urban,59,Lithium-Ion,224
8118,Urban,54,Lithium-Ion,203
8119,Urban,46,Lead-Acid,209
8120,Urban,69,Lead-Acid,269
8121,Suburban,64,Lead-Acid,253
8122,Urban,77,Lead-Acid,199
8123,Suburban,64,Lead-Acid,183
8124,Suburban,62,Lead-Acid,281
8125,Suburban,45,Lead-Acid,249
8126,Urban,63,Lead-Acid,200
8127,Suburban,60,Lithium-Ion,191
8128,Urban,49,Lithium-Ion,284
8129,Suburban,51,Lithium-Ion,243
8130,Suburban,71,Lithium-Ion,254
8131,Urban,77,Lithium-Ion,210
8132,Suburban,72,Lead-Acid,286
8133,Suburban,68,Lead-Acid,259
8134,Suburban,72,Lead-Acid,287
8135,Suburban,79,Lithium-Ion,295
8136,Suburban,53,Lead-Acid,277
8137,Suburban,51,Lithium-Ion,246
8138,Suburban,55,Lithium-Ion,265
8139,Urban,56,Lead-Acid,291
8140,Suburban,48,Lead-Acid,207
8141,Suburban,65,Lead-Acid,159
8142,Urban,47,Lead-Acid,154
8143,Urban,49,Lithium-Ion,275
8144,Urban,54,Lead-Acid,274
8145,Suburban,53,Lithium-Ion,225
8146,Suburban,79,Lead-Acid,229
8147,Suburban,49,Lead-Acid,259
8148,Urban,69,Lithium-Ion,266
8149,Urban,55,Lead-Acid,222
8150,Suburban,47,Lead-Acid,186
8151,Urban,55,Lithium-Ion,175
8152,Suburban,43,Lithium-Ion,287
8153,Suburban,52,Lithium-Ion,274
8154,Suburban,66,Lithium-Ion,218
8155,Suburban,50,Lead-Acid,266
8156,Urban,71,Lithium-Ion,266
8157,Urban,72,Lithium-Ion,182
8158,Urban,69,Lead-Acid,205
8159,Urban,61,Lithium-Ion,267
8160,Urban,72,Lead-Acid,246
8161,Urban,57,Lithium-Ion,192
8162,Urban,53,Lead-Acid,220
8163,Suburban,44,Lithium-Ion,226
8164,Suburban,79,Lithium-Ion,177
8165,Urban,45,Lithium-Ion,234
8166,Urban,68,Lead-Acid,276
8167,Urban,61,Lead-Acid,169
8168,Suburban,60,Lithium-Ion,291
8169,Urban,71,Lead-Acid,239
8170,Suburban,77,Lithium-Ion,235
8171,Urban,43,Lithium-Ion,235
8172,Suburban,61,Lead-Acid,164
8173,Suburban,51,Lead-Acid,225
8174,Suburban,57,Lead-Acid,247
8175,Suburban,41,Lead-Acid,166
8176,Urban,59,Lead-Acid,235
8177,Urban,46,Lithium-Ion,150
8178,Urban,66,Lead-Acid,182
8179,Suburban,68,Lithium-Ion,189
8180,Suburban,59,Lead-Acid,264
8181,Suburban,62,Lead-Acid,273
8182,Urban,61,Lead-Acid,221
8183,Suburban,56,Lithium-Ion,185
8184,Urban,77,Lead-Acid,246
8185,Suburban,41,Lithium-Ion,295
8186,Urban,71,Lead-Acid,164
8187,Urban,75,Lead-Acid,274
8188,Urban,65,Lead-Acid,187
8189,Suburban,69,Lead-Acid,210
8190,Suburban,50,Lithium-Ion,166
8191,Suburban,79,Lead-Acid,269
8192,Suburban,53,Lead-Acid,205
8193,Urban,55,Lead-Acid,241
8194,Urban,40,Lead-Acid,170
8195,Suburban,76,Lead-Acid,164
8196,Suburban,60,Lead-Acid,294
8197,Urban,57,Lead-Acid,175
8198,Suburban,68,Lithium-Ion,202
8199,Urban,51,Lithium-Ion,184
8200,Urban,47,Lead-Acid,290
8201,Urban,79,Lithium-Ion,258
8202,Urban,58,Lithium-Ion,297
8203,Suburban,62,Lithium-Ion,233
8204,Urban,47,Lead-Acid,152
8205,Suburban,74,Lead-Acid,276
8206,Suburban,72,Lithium-Ion,281
8207,Urban,67,Lead-Acid,273
8208,Suburban,51,Lithium-Ion,167
8209,Suburban,79,Lead-Acid,248
8210,Suburban,48,Lithium-Ion,209
8211,Suburban,48,Lead-Acid,274
8212,Suburban,71,Lithium-Ion,288
8213,Suburban,66,Lead-Acid,225
8214,Urban,42,Lead-Acid,206
8215,Suburban,48,Lead-Acid,239
8216,Urban,47,Lead-Acid,267
8217,Suburban,70,Lithium-Ion,224
8218,Urban,64,Lithium-Ion,190
8219,Suburban,40,Lithium-Ion,158
8220,Suburban,60,Lithium-Ion,193
8221,Urban,64,Lead-Acid,253
8222,Suburban,40,Lithium-Ion,205
8223,Urban,64,Lithium-Ion,270
8224,Suburban,74,Lead-Acid,189
8225,Suburban,40,Lithium-Ion,203
8226,Urban,44,Lead-Acid,287
8227,Suburban,44,Lead-Acid,275
8228,Suburban,78,Lead-Acid,258
8229,Urban,42,Lead-Acid,164
8230,Urban,58,Lithium-Ion,162
8231,Urban,47,Lead-Acid,286
8232,Urban,45,Lead-Acid,213
8233,Suburban,75,Lead-Acid,153
8234,Suburban,54,Lead-Acid,195
8235,Suburban,55,Lithium-Ion,220
8236,Urban,71,Lithium-Ion,263
8237,Suburban,66,Lithium-Ion,187
8238,Urban,67,Lithium-Ion,229
8239,Suburban,63,Lithium-Ion,245
8240,Urban,64,Lithium-Ion,180
8241,Suburban,68,Lead-Acid,221
8242,Urban,79,Lithium-Ion,231
8243,Suburban,54,Lithium-Ion,285
8244,Suburban,68,Lithium-Ion,244
8245,Urban,49,Lead-Acid,236
8246,Urban,76,Lithium-Ion,183
8247,Suburban,77,Lithium-Ion,164
8248,Urban,61,Lead-Acid,212
8249,Urban,65,Lithium-Ion,157
8250,Suburban,77,Lithium-Ion,257
8251,Suburban,75,Lithium-Ion,299
8252,Urban,48,Lithium-Ion,169
8253,Suburban,54,Lithium-Ion,164
8254,Suburban,65,Lithium-Ion,177
8255,Suburban,45,Lithium-Ion,298
8256,Urban,40,Lead-Acid,223
8257,Suburban,54,Lead-Acid,252
8258,Suburban,49,Lithium-Ion,236
8259,Suburban,67,Lithium-Ion,166
8260,Urban,69,Lithium-Ion,278
8261,Urban,56,Lead-Acid,272
8262,Suburban,52,Lead-Acid,191
8263,Urban,60,Lead-Acid,272
8264,Urban,60,Lithium-Ion,156
8265,Suburban,75,Lithium-Ion,244
8266,Suburban,52,Lithium-Ion,238
8267,Suburban,73,Lead-Acid,165
8268,Urban,67,Lithium-Ion,194
8269,Suburban,48,Lithium-Ion,246
8270,Urban,41,Lead-Acid,245
8271,Suburban,49,Lithium-Ion,176
8272,Suburban,66,Lithium-Ion,233
8273,Suburban,65,Lithium-Ion,289
8274,Suburban,70,Lead-Acid,255
8275,Urban,55,Lithium-Ion,269
8276,Suburban,57,Lithium-Ion,187
8277,Urban,66,Lithium-Ion,223
8278,Urban,45,Lithium-Ion,294
8279,Urban,61,Lithium-Ion,224
8280,Suburban,66,Lithium-Ion,275
8281,Suburban,40,Lead-Acid,197
8282,Urban,59,Lithium-Ion,260
8283,Urban,76,Lithium-Ion,262
8284,Urban,63,Lead-Acid,208
8285,Urban,66,Lithium-Ion,295
8286,Suburban,52,Lead-Acid,211
8287,Urban,70,Lead-Acid,247
8288,Suburban,60,Lithium-Ion,158
8289,Suburban,77,Lead-Acid,266
8290,Urban,40,Lead-Acid,227
8291,Suburban,74,Lead-Acid,271
8292,Suburban,66,Lead-Acid,268
8293,Urban,76,Lead-Acid,267
8294,Urban,68,Lead-Acid,154
8295,Urban,67,Lead-Acid,252
8296,Urban,54,Lithium-Ion,296
8297,Suburban,62,Lead-Acid,287
8298,Urban,51,Lithium-Ion,199
8299,Urban,42,Lithium-Ion,197
8300,Urban,48,Lead-Acid,236
8301,Urban,60,Lithium-Ion,176
8302,Urban,40,Lithium-Ion,251
8303,Suburban,45,Lithium-Ion,200
8304,Urban,63,Lithium-Ion,261
8305,Suburban,60,Lead-Acid,220
8306,Urban,65,Lead-Acid,299
8307,Suburban,79,Lead-Acid,151
8308,Suburban,42,Lead-Acid,245
8309,Suburban,75,Lithium-Ion,250
8310,Suburban,52,Lithium-Ion,179
8311,Suburban,78,Lead-Acid,179
8312,Suburban,67,Lead-Acid,154
8313,Suburban,46,Lead-Acid,272
8314,Urban,45,Lead-Acid,286
8315,Suburban,78,Lithium-Ion,263
8316,Urban,46,Lead-Acid,262
8317,Suburban,52,Lead-Acid,209
8318,Urban,55,Lithium-Ion,263
8319,Suburban,68,Lead-Acid,251
8320,Urban,46,Lithium-Ion,293
8321,Suburban,77,Lead-Acid,182
8322,Urban,53,Lithium-Ion,203
8323,Suburban,58,Lead-Acid,227
8324,Suburban,45,Lithium-Ion,189
8325,Suburban,69,Lead-Acid,297
8326,Suburban,63,Lithium-Ion,188
8327,Suburban,46,Lead-Acid,183
8328,Suburban,45,Lithium-Ion,225
8329,Urban,73,Lead-Acid,209
8330,Suburban,76,Lead-Acid,242
8331,Suburban,74,Lead-Acid,208
8332,Suburban,56,Lead-Acid,277
8333,Suburban,47,Lead-Acid,289
8334,Suburban,47,Lithium-Ion,248
8335,Urban,70,Lithium-Ion,157
8336,Urban,60,Lead-Acid,168
8337,Urban,43,Lithium-Ion,232
8338,Urban,62,Lead-Acid,221
8339,Suburban,72,Lithium-Ion,251
8340,Suburban,63,Lead-Acid,241
8341,Urban,48,Lithium-Ion,212
8342,Urban,51,Lead-Acid,262
8343,Suburban,42,Lead-Acid,169
8344,Urban,77,Lithium-Ion,298
8345,Suburban,76,Lithium-Ion,269
8346,Suburban,46,Lithium-Ion,182
8347,Suburban,42,Lead-Acid,228
8348,Suburban,73,Lithium-Ion,216
8349,Suburban,77,Lead-Acid,197
8350,Urban,43,Lead-Acid,160
8351,Suburban,76,Lithium-Ion,205
8352,Suburban,68,Lithium-Ion,224
8353,Suburban,58,Lithium-Ion,282
8354,Urban,70,Lead-Acid,290
8355,Urban,67,Lithium-Ion,218
8356,Suburban,68,Lead-Acid,263
8357,Suburban,40,Lithium-Ion,181
8358,Suburban,47,Lithium-Ion,268
8359,Urban,51,Lithium-Ion,204
8360,Suburban,71,Lithium-Ion,182
8361,Urban,60,Lead-Acid,277
8362,Suburban,64,Lithium-Ion,295
8363,Urban,40,Lithium-Ion,226
8364,Urban,48,Lithium-Ion,179
8365,Urban,43,Lead-Acid,287
8366,Urban,74,Lithium-Ion,215
8367,Urban,75,Lithium-Ion,237
8368,Suburban,50,Lead-Acid,271
8369,Urban,55,Lithium-Ion,254
8370,Suburban,79,Lithium-Ion,198
8371,Suburban,63,Lithium-Ion,243
8372,Suburban,55,Lithium-Ion,179
8373,Suburban,56,Lead-Acid,282
8374,Urban,63,Lithium-Ion,172
8375,Urban,59,Lithium-Ion,260
8376,Suburban,64,Lithium-Ion,180
8377,Urban,69,Lead-Acid,237
8378,Urban,68,Lead-Acid,190
8379,Suburban,77,Lead-Acid,151
8380,Urban,73,Lithium-Ion,229
8381,Urban,60,Lead-Acid,275
8382,Suburban,68,Lithium-Ion,204
8383,Urban,62,Lithium-Ion,168
8384,Urban,51,Lithium-Ion,216
8385,Urban,67,Lithium-Ion,264
8386,Urban,59,Lithium-Ion,184
8387,Urban,75,Lead-Acid,158
8388,Urban,50,Lead-Acid,209
8389,Suburban,53,Lithium-Ion,275
8390,Urban,65,Lead-Acid,225
8391,Suburban,68,Lithium-Ion,171
8392,Urban,70,Lead-Acid,269
8393,Urban,67,Lead-Acid,211
8394,Suburban,63,Lithium-Ion,177
8395,Suburban,60,Lithium-Ion,263
8396,Urban,57,Lithium-Ion,271
8397,Urban,65,Lithium-Ion,271
8398,Urban,44,Lead-Acid,211
8399,Suburban,77,Lithium-Ion,187
8400,Urban,42,Lithium-Ion,290
8401,Suburban,73,Lithium-Ion,186
8402,Suburban,41,Lead-Acid,259
8403,Urban,61,Lead-Acid,281
8404,Suburban,70,Lead-Acid,198
8405,Suburban,64,Lithium-Ion,224
8406,Suburban,74,Lead-Acid,176
8407,Suburban,49,Lead-Acid,296
8408,Urban,48,Lithium-Ion,180
8409,Suburban,67,Lead-Acid,238
8410,Urban,61,Lead-Acid,186
8411,Urban,49,Lead-Acid,201
8412,Urban,62,Lithium-Ion,194
8413,Urban,75,Lithium-Ion,201
8414,Urban,76,Lithium-Ion,159
8415,Suburban,70,Lithium-Ion,270
8416,Suburban,77,Lithium-Ion,285
8417,Suburban,51,Lead-Acid,157
8418,Urban,50,Lead-Acid,169
8419,Suburban,58,Lead-Acid,188
8420,Suburban,67,Lithium-Ion,273
8421,Urban,51,Lead-Acid,286
8422,Urban,73,Lithium-Ion,270
8423,Urban,79,Lead-Acid,299
8424,Urban,49,Lead-Acid,240
